序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
3001,835857,百甲科技,3.33,0.0,0.0,2389.0,795421.98,1.2,3.35,3.31,3.35,3.33,0.88,0.25,11.05,0.86,603606779.0,323103653.0,0.0,0.0,-10.24,-10.24
3002,835508,殷图网联,6.25,0.0,0.0,262.0,163196.65,2.4,6.25,6.1,6.2,6.25,0.51,0.1,-45.17,1.42,312500000.0,162734375.0,0.0,0.0,-5.59,0.97
3003,834599,同力股份,7.4,0.0,0.0,5263.0,3887582.13,1.62,7.44,7.32,7.32,7.4,0.56,0.26,5.29,1.53,3348685000.0,1518207029.0,0.0,0.0,4.67,4.52
3004,833819,颖泰生物,4.93,0.0,0.0,9673.0,4734935.97,3.25,4.96,4.8,4.92,4.93,0.74,0.08,21.42,1.01,6043194000.0,5955788798.0,0.2,0.2,-10.36,-6.81
3005,831726,朱老六,10.01,0.0,0.0,149.0,148472.21,1.3,10.01,9.88,9.88,10.01,0.15,0.06,22.16,2.17,1022521500.0,256086080.0,0.0,0.0,-7.66,-1.09
3006,831526,凯华材料,4.43,0.0,0.0,2455.0,1083289.28,1.81,4.47,4.39,4.47,4.43,0.81,1.16,23.11,1.84,366361000.0,93384701.0,0.45,0.0,-25.8,7.52
3007,831370,新安洁,2.63,0.0,0.0,4046.0,1061734.83,1.9,2.65,2.6,2.63,2.63,1.21,0.15,131.19,1.06,805516400.0,703460483.0,0.0,0.0,-12.62,-9.62
3008,831278,泰德股份,3.03,0.0,0.0,1860.0,559513.95,0.99,3.03,3.0,3.0,3.03,0.48,0.31,61.72,1.21,433914180.0,182067085.0,0.66,1.0,-12.43,-4.42
3009,831087,秋乐种业,6.66,0.0,0.0,26700.0,17710324.39,2.7,6.71,6.53,6.65,6.66,1.19,4.13,28.17,2.21,1100232000.0,430449786.0,0.45,0.45,-3.76,18.72
3010,831010,凯添燃气,3.62,0.0,0.0,2611.0,935940.66,1.66,3.62,3.56,3.57,3.62,0.65,0.16,22.22,1.33,848890000.0,582916303.0,0.28,0.28,-9.27,-4.23
3011,688581,安杰思,,,,,,,,,,,,0.0,,,,,,,,
3012,688562,航天软件,,,,,,,,,,,,0.0,,,,,,,,
3013,688555,*ST泽达,4.14,0.0,0.0,,,0.0,,,,4.14,,0.0,-3.51,0.46,344075400.0,173225880.0,0.0,0.0,-5.05,7.53
3014,688552,航天南湖,,,,,,,,,,21.17,,0.0,34.15,5.59,5354640280.0,,,,0.0,0.0
3015,688512,慧智微,,,,,,,,,,20.92,,0.0,-27.32,5.84,8330466340.0,,,,0.0,0.0
3016,688500,慧辰股份,21.53,0.0,0.0,,,0.0,,,,21.53,,0.0,-22.76,1.76,1599130200.0,916021193.0,0.0,0.0,-23.11,-9.16
3017,688479,友车科技,,,,,,,,,,33.99,,0.0,34.13,5.3,3679009620.0,,,,0.0,0.0
3018,688469,中芯集成,,,,,,,,,,5.69,,0.0,-26.54,8.39,28882440000.0,,,,0.0,0.0
3019,688458,美芯晟,,,,,,,,,,,,0.0,,,,,,,,
3020,688370,丛麟科技,36.78,0.0,0.0,2413.0,8886392.0,1.69,37.23,36.61,36.89,36.78,0.92,0.97,27.05,1.35,3913392000.0,911027801.0,-0.03,0.0,-1.53,4.1
3021,688361,中科飞测,,,,,,,,,,,,0.0,,,,,,,,
3022,688249,晶合集成,,,,,,,,,,19.86,,0.0,-30.13,1.77,39841844218.0,8420503482.0,,,0.0,0.0
3023,688086,*ST紫晶,2.42,0.0,0.0,,,0.0,,,,2.42,,0.0,-1.56,0.36,460723237.0,321791412.0,0.0,0.0,-9.02,0.0
3024,605318,法狮龙,13.39,0.0,0.0,11618.0,15541300.0,2.76,13.58,13.21,13.33,13.39,1.19,2.97,215.02,2.2,1729601725.0,524501725.0,0.22,0.3,-10.01,-2.62
3025,603996,退市中新,,,,,,,,,,0.39,,0.0,,,,,,,0.0,0.0
3026,603803,瑞斯康达,7.5,0.0,0.0,139462.0,102880304.0,4.8,7.58,7.22,7.41,7.5,0.93,3.31,-29.55,1.69,3256316678.0,3157916678.0,0.27,0.0,2.74,24.58
3027,603790,雅运股份,,,,,,,,,,10.74,,0.0,29.26,1.72,2055206400.0,2055206400.0,,,-10.95,7.29
3028,603685,晨丰科技,11.03,0.0,0.0,32895.0,36384767.0,6.44,11.42,10.71,11.13,11.03,0.98,1.95,119.55,1.74,1864091001.0,1864091001.0,-0.18,0.36,4.35,17.34
3029,603557,ST起步,2.84,0.0,0.0,61528.0,17571531.0,2.82,2.9,2.82,2.86,2.84,0.89,1.25,-10.88,2.3,1403173511.0,1403173511.0,0.0,0.0,-13.41,-16.22
3030,603439,贵州三力,19.83,0.0,0.0,180769.0,360580718.0,7.06,20.65,19.25,19.4,19.83,0.98,4.44,36.99,6.27,8127567743.0,8077199543.0,0.0,-0.25,35.27,44.53
3031,603429,集友股份,9.44,0.0,0.0,35453.0,33610205.0,2.44,9.59,9.36,9.43,9.44,1.11,0.68,35.9,3.39,4951142790.0,4951142790.0,-0.21,-0.21,-15.64,-13.24
3032,603416,信捷电气,36.9,0.0,0.0,15654.0,58133902.0,3.47,37.8,36.52,36.82,36.9,0.99,1.11,31.67,2.59,5186664000.0,5186664000.0,0.05,0.16,-26.39,-18.58
3033,603317,天味食品,17.16,0.0,0.0,58488.0,101007447.0,3.09,17.53,17.0,17.12,17.16,1.03,0.56,35.64,4.66,18285265524.0,18080261525.0,0.0,0.0,-7.79,-11.55
3034,603196,日播时尚,,,,,,,,,,11.09,,0.0,54.48,3.27,2657635458.0,2637726690.0,,,45.54,47.08
3035,603172,万丰股份,,,,,,,,,,14.58,,0.0,21.56,2.55,1458000000.0,,,,0.0,0.0
3036,603157,退市拉夏,,,,,,,,,,0.59,,0.0,,,,,,,0.0,0.0
