序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
4674,001269,欧晶科技,93.63,-2.73,-2.63,17841.0,168782416.44,3.17,96.3,93.25,95.66,96.26,0.82,5.19,18.69,9.79,12867161362.0,3216790387.0,0.12,0.3,-17.95,-5.65
4675,002649,博彦科技,13.52,-2.73,-0.38,147832.0,201329459.79,3.74,13.95,13.43,13.74,13.9,1.25,2.84,30.39,2.03,7999308745.0,7038758416.0,0.15,0.22,10.01,31.39
4676,300668,杰恩设计,25.97,-2.73,-0.73,9140.0,23878455.0,4.42,26.88,25.7,26.88,26.7,0.84,1.16,132.27,4.34,3126301660.0,2050227516.0,0.54,0.97,22.04,31.96
4677,600183,生益科技,15.61,-2.74,-0.44,151104.0,238891408.0,3.36,16.1,15.56,15.97,16.05,1.27,0.65,36.83,2.61,36496819339.0,36496819339.0,0.0,0.19,-5.96,8.33
4678,603324,盛剑环境,39.01,-2.74,-1.1,11965.0,46992772.0,2.99,40.0,38.8,39.7,40.11,0.83,2.7,65.09,3.38,4879008007.0,1731256037.0,0.28,0.08,-2.13,11.23
4679,002567,唐人神,7.09,-2.74,-0.2,384041.0,275583991.71,5.08,7.43,7.06,7.4,7.29,1.74,3.17,-7.23,1.51,9838061652.0,8588122863.0,0.14,0.14,-11.26,0.14
4680,688216,气派科技,23.75,-2.74,-0.67,7359.0,17600095.0,3.85,24.6,23.66,24.6,24.42,1.06,1.69,-18.76,2.96,2523912500.0,1033291250.0,0.04,0.0,-21.36,-6.94
4681,301183,东田微,37.89,-2.75,-1.07,39483.0,152667786.3,7.55,39.94,37.0,39.0,38.96,0.87,19.74,-172.03,3.62,3031200000.0,757800000.0,0.11,0.4,49.11,70.45
4682,688579,山大地纬,15.54,-2.75,-0.44,60683.0,95055142.0,5.51,16.28,15.4,15.93,15.98,0.93,2.15,109.82,4.74,6216155400.0,4377114504.0,0.13,-0.06,36.56,58.73
4683,300686,智动力,9.17,-2.76,-0.26,29815.0,27877946.9,4.14,9.51,9.12,9.3,9.43,1.85,1.5,-13.57,1.79,2435774281.0,1820271474.0,0.11,-0.11,-28.25,-23.58
4684,688698,伟创电气,26.45,-2.76,-0.75,16931.0,45370620.0,6.4,27.9,26.16,27.61,27.2,1.84,3.76,27.8,4.64,4761000000.0,1190250000.0,0.38,0.34,13.52,27.72
4685,002847,盐津铺子,122.9,-2.76,-3.49,5989.0,74241446.72,4.41,128.0,122.43,126.1,126.39,1.49,0.52,35.42,12.56,15805553271.0,14173678591.0,-0.01,-0.03,2.46,13.49
4686,002469,三维化学,6.69,-2.76,-0.19,134003.0,90018228.24,2.18,6.8,6.65,6.79,6.88,1.5,2.17,23.9,1.64,4340890995.0,4138884163.0,0.15,0.0,2.92,13.97
4687,600330,天通股份,10.2,-2.76,-0.29,114071.0,118102906.0,3.05,10.49,10.17,10.45,10.49,0.6,1.14,36.21,1.58,12581031043.0,10164970446.0,0.1,0.1,-22.96,-3.23
4688,605077,华康股份,27.03,-2.77,-0.77,15726.0,43030357.0,2.77,27.79,27.02,27.79,27.8,1.55,1.03,17.15,2.37,6175208928.0,4113639315.0,-0.11,-0.11,-9.54,-9.11
4689,300769,德方纳米,159.13,-2.77,-4.54,37129.0,593746746.2,5.11,164.36,156.0,158.58,163.67,0.77,2.4,-9.64,3.4,27651294945.0,24620572754.0,-0.23,0.11,-39.3,-30.69
4690,300903,科翔股份,9.11,-2.77,-0.26,87147.0,79891003.34,3.2,9.36,9.06,9.33,9.37,1.22,3.17,-26.33,1.62,3777866184.0,2507821480.0,0.33,0.33,-33.94,-21.19
4691,002180,纳思达,38.48,-2.78,-1.1,115151.0,447628567.0,3.44,39.75,38.39,39.0,39.58,2.39,0.9,64.38,3.4,54489486174.0,49141952474.0,-0.16,-0.05,-29.24,-25.84
4692,301248,杰创智能,30.3,-2.79,-0.87,14754.0,45071858.01,3.75,31.29,30.12,30.9,31.17,1.15,2.24,64.57,1.89,3104841000.0,1997527500.0,0.07,0.0,-6.25,-0.59
4693,688509,正元地信,4.52,-2.8,-0.13,64217.0,29314503.0,3.44,4.67,4.51,4.65,4.65,1.49,1.7,-73.17,2.31,3480400000.0,1702814628.0,0.0,0.0,-0.66,11.88
4694,301082,久盛电气,16.34,-2.8,-0.47,23350.0,38744064.0,4.22,16.96,16.25,16.74,16.81,0.86,3.53,117.88,2.45,2641351359.0,1081188453.0,0.37,0.12,-2.45,5.83
4695,688502,茂莱光学,202.08,-2.8,-5.82,5010.0,101145936.0,5.77,210.0,198.0,209.0,207.9,0.71,4.15,190.91,8.96,10669824000.0,2437373774.0,-0.01,-0.01,189.85,189.85
4696,300101,振芯科技,22.56,-2.8,-0.65,57250.0,130804689.0,3.15,23.25,22.52,23.1,23.21,0.71,1.02,62.57,7.59,12736157760.0,12687752234.0,0.04,0.09,-21.67,-7.92
4697,688196,卓越新能,50.45,-2.81,-1.46,2376.0,12089276.0,3.06,51.91,50.32,51.91,51.91,0.89,0.79,21.26,2.12,6054000000.0,1513500000.0,0.0,0.06,-21.94,-13.05
4698,002705,新宝股份,15.87,-2.82,-0.46,82453.0,131410891.56,3.0,16.2,15.71,16.0,16.33,1.72,1.0,23.7,1.84,13120169869.0,13060270506.0,-0.25,-0.19,-11.39,-4.68
